authorID,rank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
1666292634,15283,Wolfgang Aigner,121,2211,46,164,1453,18,
1793363511,16309,Ryosuke Saga,93,179,24,676,44,3,
193994343,14273,Silvia Miksch,266,5291,71,68,1996,21,
210866836,15333,Ian T. Nabney,102,1875,26,552,274,6,
2112168521,15074,Satoyuki Kawano,321,1038,20,968,39,3,
2143783256,14291,Katy BÃ¶rner,242,6035,62,92,1243,17,
2154284134,14917,Masahide Murakami,221,1164,22,804,96,6,
37293949,15405,Haim Levkowitz,76,1514,25,593,880,8,
2124610550,16493,LukÃ¡Å¡ Herman,83,121,33,327,77,6,
2304056762,16791,Glauco de Figueiredo Carneiro,55,159,20,909,126,6,
2423497048,15741,Manoel MendonÃ§a,104,1043,26,538,227,8,
1438871885,14496,Heinz Handels,356,3639,25,617,280,10,
2030039896,14236,RÃ¼diger Westermann,180,5683,41,213,733,16,
2057632188,14178,Andreas Rauber,355,4790,27,500,950,14,
2146883810,15564,Motoyuki Itoh,164,583,20,924,66,5,
112613578,14545,Luca Chittaro,191,4754,26,571,905,16,
1992120996,14207,William Ribarsky,186,4642,94,34,1929,25,
2028355016,15903,Ingrid Hotz,108,870,43,185,256,9,
2122423217,13690,Kwan Liu Ma,512,10383,303,1,6096,43,
2122502592,13748,Bernd Hamann,512,7157,188,4,2035,25,
2237445521,14151,Hans Hagen,394,4806,165,5,2447,30,
2424001649,15010,Gunther H. Weber,122,1868,65,83,727,15,
2443936740,14358,Norbert Rahn,422,3443,25,597,392,10,
277778480,13596,John Shalf,236,9171,28,464,421,11,
2088024608,13223,Steve Benford,409,12308,23,692,441,10,
2154968417,14220,Jean Daniel Fekete,205,6911,98,30,3496,29,
216611935,13560,Catherine Plaisant,271,10537,74,61,3864,28,
2570943861,15151,James Ahrens,143,2189,75,60,1350,16,
332866935,16412,BenoÃ®t Otjacques,80,350,30,422,129,6,
403640012,14413,Georges Grinstein,194,3390,91,37,1825,18,
1983982202,14139,Natalia Andrienko,246,7356,80,51,3248,27,
2008344182,16231,Nahum Gershon,67,431,29,433,148,7,
2114505653,15472,Christin Seifert,148,948,24,631,247,8,
237265413,14045,Gennady Andrienko,272,8168,84,49,3299,28,
2789226822,15028,Michael Granitzer,220,1813,25,576,395,11,
154171363,14933,JÃ¼rgen DÃ¶llner,227,2365,86,42,874,17,
192202707,16200,Mikael Jern,58,801,32,348,562,11,
693769535,13819,Steven P. Reiss,177,5180,41,205,958,17,
2132849971,13236,Arie E. Kaufman,436,13348,117,15,2400,25,1
2143122238,17173,Beomjin Kim,45,60,22,806,44,5,
1094438419,16488,Kai Lawonn,78,390,43,187,275,11,
2133398056,14077,Toshio Ando,456,8075,24,653,1052,11,
2149494377,15331,David Gotz,99,2141,38,240,793,14,
2894229052,15714,Zulkepli Majid,179,275,20,941,32,3,
332475898,14224,Bernhard Preim,535,4000,159,7,1906,24,
1881081896,15117,Mohamed Al Hussein,241,1549,22,787,257,7,
2037513264,14799,Karl Heinz HÃ¶hne,63,1742,36,273,1090,19,
2157611257,14321,Chris North,205,5674,105,23,3722,31,
2166027141,15384,Francis M. Dwyer,151,1351,26,543,229,8,
96769270,15336,Andreas Pommert,57,1316,31,385,904,14,
2015235164,15033,Alex Pang,110,2390,59,104,1697,21,
2083449707,13524,Thomas Ertl,617,10241,268,2,4290,37,
2136127216,14026,David S. Ebert,358,6822,119,14,2482,25,
2059917588,14468,Alan Chalmers,322,3881,22,756,138,6,
2120088882,14475,Kenneth I. Joy,247,3773,108,21,1500,20,
2193023912,14888,Niklas Elmqvist,178,3647,91,36,2124,23,
2255233454,17147,Harald Obermaier,37,198,29,446,167,7,
720721530,15045,Robert S. Laramee,164,2853,106,22,2427,23,
2025685111,14218,Daniel Weiskopf,392,6450,223,3,3605,33,
206117854,16457,Jaime Urquiza Fuentes,55,412,20,955,222,7,
2153708411,15521,Hitoshi Asano,174,426,22,803,63,4,
2166341251,13650,Pheng Ann Heng,564,10689,38,239,430,11,
2206139417,15572,J. Ãngel VelÃ¡zquez Iturbide,101,1073,31,368,748,9,
2304186621,14014,Hans Peter Meinzer,387,6604,40,218,866,14,
2091398259,15066,Richard M. Kelso,170,2196,24,629,834,10,
2250804251,14708,Joan Adler,176,2721,26,561,119,7,
2308794863,15119,Aaron Quigley,200,1720,24,663,133,7,
336473884,13710,Peter Eades,218,8616,48,154,2707,15,
1167418905,13217,Marcia C. Linn,345,17817,23,724,866,14,
1975140722,13353,Nadia Magnenat Thalmann,589,10851,32,350,464,11,
2041814779,16824,Elena Masala,57,117,20,971,72,6,
2118134862,12915,Daniel Thalmann,758,16261,34,302,595,11,
2133897809,14030,Sang Joon Lee,569,6821,61,95,901,17,
2150335851,15873,Pere Pau VÃ¡zquez,65,1035,21,823,108,6,
2262403949,15591,Ronald Peikert,53,1727,32,366,1078,17,
2698075467,15471,Hamish Carr,87,1807,27,521,506,10,
2034849075,13428,Thomas A. DeFanti,177,6835,56,120,2857,19,1
2076420186,14887,Sheelagh Carpendale,309,7072,126,31,3208,30,
