External_1193,Estimation of probabilities from sparse data for the language model component of a speech recognizer,2134237567
External_13897,Deletion and Logical Form,1507243417
External_2081,the use of classifiers in sequential inference,2949995692
External_24067,smoothing a probabilistic lexicon via syntactic transformations,1502614524
External_25468,ALE: The Attribute Logic Engine User's Guide,1595440401
External_27684,Parsing and Generation of Unification Grammars,1495320981
External_42180,Unfold/Fold Transformation of Logic Programs,16194962
External_46370,an efficient dialogue control method under systems limited knowledge,13128756
External_4949,Literature and Cognition,645937921
External_683,Generalizing case frames using a thesaurus and the MDL principle,2953028685
External_76183,a theory of default reasoningquot,192775082
External_76184,intended models circumscription and commonsense reasoningquot,1629393595
External_8687,expectation semirings flexible em for finitestate transducers,2171842071
External_DUMMY,A maximization technique occurring in the statistical analysis of probabilistic functions of Markov chains,2086699924
External_DUMMY,Dotplot patterns: A literal look at pattern languages,1971393620
External_DUMMY,Dotplot: A program for exploring self-similarity in millions of lines of text and code,1974930421
External_DUMMY,Recognition and parsing of context-free languages in time n3,1970961429
External_DUMMY,Topic segmentation: Algorithms and applications,1604285433
External_DUMMY,Unification-Based Syntactic Analysis,1811337310
External_DUMMY,A tutorial on Hidden Markov Models and selected applications in speech recognition,2125838338
External_DUMMY,Classification and Regression Trees,2607893089
External_DUMMY,Maximum likelihood from incomplete data via the EM algorithm,2049633694
External_DUMMY,One-Level Phonology,3010570115
External_DUMMY,Autonomous belief revision and communication,2990583193
External_DUMMY,An efficient recognition and syntax algorithm for context-free languages,2152907450
External_DUMMY,Numerical Recipies in C: The Art of Scientific Computing,1708197474
External_DUMMY,Language amp; Information: Selected Essays on Their Theory amp; Application Addison-Wesley,1996484504
External_DUMMY,One-level phonology: Autosegmental representations and rules as finite automata,1647053039
External-10751,Detection of suicidality in adolescents with autism spectrum disorders: Developing a natural language processing approach for use in electronic health records. AMIA Annual Symposium Proceedings.,2891583124
External-11349,Simplification of Arabic masterpieces for extensive reading: A project overview. Procedia Computer Science,2767823395
External-14493,XTREME: A massively multilingual multitask benchmark for evaluating cross-lingual generalisation.,3013840636
External-16154,Misa: Modality-invariant and -specific representations for multimodal sentiment analysis.,3022398031
External-1678,METIS-II: machinetranslation for low-resource languages.,65082245
External-17218,Transductive inference for text classification using support vector machines.,2107008379
External-1932,Automatic morphological analysis of Basque.,2096369514
External-21058,Evaluating and optimizing autonomous text classification systems.,2153962014
External-21091,Fast algorithms to enumerate all common intervals of two permutations.,2044007697
External-21316,Information structure and the syntax-phonology interface.,2145506147
External-21318,Efficient realization of coordinate structures in Combinatory Categorial Grammar,2989073528
External-23172,Dirt - discovery of inference rules from text.,1503501517
External-23214,Relational duality: unsupervised extraction of semantic relations between entities on the web.,2147768114
External-24386,Focusing in the comprehension of definite anaphora.,2549692303
External-25737,Soft clustering on graphs.,2146058975
External-26878,Dialogue acts synchronising units and anaphora resolution.,2083905610
External-269,Head-Driven Phrase Structure Grammar.,2038248725
External-2699,The Syntactic Process.,1567277581
External-36542,Learning from labeled and unlabeled data using graph mincuts.,1585385982
External-3656,Distributed representations of words and phrases and their compositionality.,2153579005
External-3793,Lexrank: Graph-based lexical centrality as salience in text summarization.,2110693578
External-39385,Natural Language Generation for Text-to-Text Applications Using an Information-Slim Representation.,138710363
External-39489,Statistics-Based Summarization - Step One: Sentence Compression.,2118119027
External-3969,Efficient estimation of word representations in vector space.,2950577311
External-40236,A bit of progress in language modeling extended version.,10704533
External-4634,Distilling taskspecific knowledge from bert into simple neural networks,2924902521
External-48978,Enriching OWL ontologies with linguistic and user-related annotations: the ELEON system.,2145068559
External-4899,Bert: Pre-training of deep bidirectional transformers for language understanding,2896457183
External-49349,A new challenge for text mining: Cancer risk assessment.,147649633
External-4935,Shortlist B: a Bayesian model of continuous speech recognition.,1965349238
External-6002,Incorporating sememes into chinese definition modeling. arXiv preprint arXiv:1905.06512.,2946709033
External-6234,Analyzing Text Complexity and Text Simplification: Connecting Linguistics Processing and Educational Applications. Dissertation Universit¡°at T¡°ubingen.,1812098551
External-6481,Visual dialog.,2768661419
External-6486,Ernie: Enhanced representation through knowledge integration. arXiv preprint arXiv:1904.09223.,2938830017
External-6710,A Bayesian framework for word segmentation: Exploring the effects of context.,2126377586
External-6882,A hierarchical approach for generating descriptive image paragraphs.,2549599535
External-6976,Unsupervised machine translation using monolingual corpora only.,2963602293
External-7248,Regularizing and Optimizing LSTM Language Models.,2743945814
External-7263,Few-shot classification in named entity recognition task.,2904415434
External-7574,Metaphors We Live By.,2052417512
External-8574,Indexing by latent semantic analysis.,2147152072
External-9836,Yass: Yet another suffix stripper.,2138958299
