Topic,Count,Name,x,y,h,s,v,label
0,7406,robot_grasp_robotic_planning_robotics_humanoid_motion_manipulation,-4.486874,10.239098,113.7,0.4438242822393499,1,1
1,7113,program_logic_check_verification_semantics_proof_calculus_type,-0.8687245,-0.22956221,194.8,0.0356734759556799,1,4
2,6268,forest_specie_climate_land_vegetation_plant_soil_change,-2.6343052,9.730988,105.1,0.4002402164713902,1,1
3,6059,social_community_network_twitter_medium_influence_news_online,-7.9646316,15.053424,117.9,0.6761386983286396,1,7
4,5886,cod_video_compression_block_motion_264_bit_hevc_rate_distortion,-4.705426,-1.0374018,192.4,0.191298431571158,1,4
5,5717,device_apparatus_method_message_user_electronic_communication_medium_mail_computer,11.646313,-2.6146064,347.3,0.4738840451414225,1,6
6,5517,fuzzy_linguistic_decision_make_interval_intuitionistic_type_set_hesitant_consensus,7.9552083,5.632572,35.3,0.386984494752409,1,0
7,5261,cardiac_image_mri_ct_left_ventricular_myocardial_aortic_heart_angiography,9.290962,10.470319,48.4,0.5557484867175538,1,5
8,5220,brain_connectivity_eeg_functional_fmri_cortex_cortical_cognitive_matter,-8.207197,13.508654,121.3,0.6275360962299315,1,7
9,5070,speech_music_audio_sound_speaker_musical_acoustic_recognition_voice,5.8741384,-3.994669,325.8,0.2820279656794771,1,2
10,4904,software_project_engineering_code_requirement_bug_development_developer_defect,-8.193154,13.813225,120.7,0.6376165293358016,1,7
11,4818,video_action_frame_temporal_recognition,8.399092,10.210614,50.6,0.5249024290031675,1,5
12,4606,optimization_evolutionary_objective_swarm_problem_algorithm_multiobjective_genetic_pareto_pso,8.454634,6.159366,36.1,0.4152902890219219,1,0
13,4372,cache_memory_parallel_mpi_parallelism_performance_processor_dram_compiler,11.792079,-6.153733,332.4,0.5280761148124622,1,6
14,4256,face_facial_recognition_expression_3d_image,8.599368,10.032417,49.4,0.524597755717224,1,5
15,4074,graph_vertex_edge_planar_minimum_span_maximum,1.5350313,-1.723322,311.7,0.091624843258012,1,2
16,4056,patient_surgery_mortality_coronary_valve_outcome_heart_artery_cardiac_congenital,10.821416,15.202595,54.6,0.7408567001913626,1,5
17,3918,xml_database_query_rdf_schema_relational_sql_xquery,-8.616827,14.196792,121.3,0.6593290106413698,1,7
